category,name,description,endpoint,docs_link,,,,,,,,,,,,,,,,,,,,
breakdowns,marketcap_usd_by_age,Market cap by age,/v1/metrics/breakdowns/marketcap_usd_by_age,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-marketcap_usd_by_age,,,,,,,,,,,,,,,,,,,,
breakdowns,marketcap_usd_by_pnl,Market cap by PnL,/v1/metrics/breakdowns/marketcap_usd_by_pnl,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-marketcap_usd_by_pnl,,,,,,,,,,,,,,,,,,,,
breakdowns,marketcap_usd_by_wallet_size,Market cap by wallet size,/v1/metrics/breakdowns/marketcap_usd_by_wallet_size,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-marketcap_usd_by_wallet_size,,,,,,,,,,,,,,,,,,,,
breakdowns,mvrv_by_age,MVRV by age cohort,/v1/metrics/breakdowns/mvrv_by_age,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-mvrv_by_age,,,,,,,,,,,,,,,,,,,,
breakdowns,mvrv_by_pnl,MVRV by PnL status,/v1/metrics/breakdowns/mvrv_by_pnl,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-mvrv_by_pnl,,,,,,,,,,,,,,,,,,,,
breakdowns,mvrv_by_wallet_size,MVRV by wallet size,/v1/metrics/breakdowns/mvrv_by_wallet_size,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-mvrv_by_wallet_size,,,,,,,,,,,,,,,,,,,,
breakdowns,price_realized_usd_by_age,Realized price by age,/v1/metrics/breakdowns/price_realized_usd_by_age,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-price_realized_usd_by_age,,,,,,,,,,,,,,,,,,,,
breakdowns,price_realized_usd_by_pnl,Realized price by PnL,/v1/metrics/breakdowns/price_realized_usd_by_pnl,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-price_realized_usd_by_pnl,,,,,,,,,,,,,,,,,,,,
breakdowns,price_realized_usd_by_wallet_size,Realized price by wallet,/v1/metrics/breakdowns/price_realized_usd_by_wallet_size,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-price_realized_usd_by_wallet_size,,,,,,,,,,,,,,,,,,,,
breakdowns,realized_loss_by_age,Realized loss by age,/v1/metrics/breakdowns/realized_loss_by_age,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-realized_loss_by_age,,,,,,,,,,,,,,,,,,,,
